start.date;duration.s;peak.c/s;total.counts;min energy.kev;max energy.kev
12.02.2002;712;136;167304;12;25
12.02.2002;288;7;9504;6;12
13.02.2002;216;15;11448;6;12
13.02.2002;244;20;17400;12;25
13.02.2002;236;336;313392;25;50
13.02.2002;788;272;524304;12;25
13.02.2002;548;28;52488;6;12
13.02.2002;708;92;125352;25;50
13.02.2002;108;26;10368;6;12
13.02.2002;232;26;16920;12;25
13.02.2002;204;18;14688;12;25
13.02.2002;1260;56;91896;12;25
14.02.2002;144;10;6288;12;25
14.02.2002;412;28;44304;12;25
14.02.2002;232;60;39168;6;12
14.02.2002;408;20;24552;6;12
14.02.2002;560;168;219432;12;25
14.02.2002;428;34;42456;12;25
14.02.2002;488;22;26568;12;25
14.02.2002;848;27;63720;6;12
14.02.2002;224;204;60633;6;12
14.02.2002;888;334;376779;12;25
14.02.2002;504;50;33611;6;12
15.02.2002;300;14;15744;6;12
16.02.2002;212;32;23424;25;50
16.02.2002;84;7;2904;6;12
16.02.2002;488;84;86712;12;25
17.02.2002;92;9;3890;6;12
17.02.2002;196;52;30840;6;12
17.02.2002;356;28;37416;6;12
17.02.2002;276;18;22128;6;12
17.02.2002;76;34;6480;6;12
17.02.2002;244;36;30168;12;25
17.02.2002;1244;18;76368;6;12
17.02.2002;336;20;22464;12;25
17.02.2002;68;9;3312;6;12
17.02.2002;552;15;35232;6;12
17.02.2002;332;13;19080;6;12
17.02.2002;556;52;75240;12;25
17.02.2002;104;18;8040;12;25
17.02.2002;304;18;20688;12;25
17.02.2002;500;100;78720;12;25
18.02.2002;556;14;34320;12;25
18.02.2002;1476;120;378936;25;50
18.02.2002;236;14;12744;12;25
18.02.2002;156;8;5964;6;12
18.02.2002;460;65;42574;6;12
18.02.2002;280;9;10542;6;12
18.02.2002;672;210;125965;12;25
18.02.2002;332;9;13181;6;12
18.02.2002;152;117;33131;6;12
18.02.2002;348;88;64368;6;12
18.02.2002;604;48;93696;6;12
18.02.2002;248;46;48432;6;12
18.02.2002;372;96;69744;3;6
18.02.2002;388;176;137568;6;12
18.02.2002;1036;112;381168;6;12
18.02.2002;632;136;303288;6;12
18.02.2002;3248;304;2736546;12;25
18.02.2002;392;208;392256;12;25
18.02.2002;116;192;110016;12;25
18.02.2002;876;38;131472;6;12
18.02.2002;688;40;89256;12;25
18.02.2002;84;18;8232;6;12
18.02.2002;904;18;68890;6;12
18.02.2002;16;9;776;3;6
18.02.2002;24;8;1107;6;12
18.02.2002;12;8;537;6;12
18.02.2002;8;7;315;6;12
18.02.2002;48;8;1990;6;12
18.02.2002;808;27;81259;6;12
18.02.2002;608;21;45429;6;12
18.02.2002;316;22;13883;6;12
18.02.2002;608;19;33872;12;25
19.02.2002;340;9;13365;3;6
19.02.2002;328;14;18120;12;25
19.02.2002;76;14;3456;6;12
19.02.2002;300;160;67752;12;25
19.02.2002;160;136;16512;6;12
19.02.2002;120;14;6552;12;25
19.02.2002;60;8;2136;12;25
19.02.2002;184;32;18456;12;25
20.02.2002;240;40;25392;12;25
20.02.2002;288;624;594816;12;25
20.02.2002;160;40;28416;12;25
20.02.2002;800;1008;986736;12;25
20.02.2002;60;20;4776;12;25
20.02.2002;76;16;4752;12;25
